Column1;id;age;cause;vus;country;kpp;yService;voenk;kategory;katZ;date;date_wo_time
204;3129;30.0;;121300, связист, военная кафедра;Турция;Внуково;;;;1.0;29.09.2022 10:36;2022-09-29
205;3130;29.0;отказ от военкомата;;Казахстан;Орск;;;;;29.09.2022 5:30;2022-09-29
206;3134;36.0;отказ от военкомата;не служил;Грузия;Верхний Ларс;;;Б;;25.09.2022 10:57;2022-09-25
207;3144;NULL;отказ от военкомата;;Финляндия;;;;Б;;29.09.2022 0:30;2022-09-29
208;3145;33.0;отказ от военкомата;артиллерия, военная кафедра, офицер;Армения;Шереметьево;;;;13.0;29.09.2022 6:00;2022-09-29
209;3159;27.0;отказ от военкомата;не служил;Грузия;Верхний Ларс;;;В;;29.09.2022 12:10;2022-09-29
210;3159;NULL;отказ от военкомата;служил;;Внуково;;;;;29.09.2022 12:10;2022-09-29
211;3159;NULL;отказ от военкомата;служил;;Внуково;;;;;29.09.2022 12:10;2022-09-29
212;3159;NULL;отказ от военкомата;служил;;Внуково;;;;;29.09.2022 12:10;2022-09-29
213;3159;NULL;отказ от военкомата;служил;;Внуково;;;;;29.09.2022 12:10;2022-09-29
214;3159;NULL;отказ от военкомата;служил;;Внуково;;;;;29.09.2022 12:10;2022-09-29
215;3160;24.0;отказ от военкомата;097000, военная кафедра;Казахстан;;;Всеволожск, Ленинградская область;;;28.09.2022 12:15;2022-09-28
216;3164;NULL;;;;Внуково;;;;;29.09.2022 12:25;2022-09-29
217;3165;29.0;отказ от военкомата;служил;Казахстан;Караозек;;;А;;28.09.2022 12:30;2022-09-29
218;3165;27.0;отказ от военкомата;служил;Казахстан;Караозек;;;А;;28.09.2022 12:30;2022-09-28
219;3165;NULL;отказ от военкомата;;Казахстан;Караозек;;;В;;28.09.2022 12:30;2022-09-28
220;3165;NULL;отказ от военкомата;;Казахстан;Караозек;;;В;;28.09.2022 12:30;2022-09-28
221;3168;30.0;долг;старший оператор СОУ, рядовой;Киргизия;Сочи;;;;;21.09.2022 12:37;2022-09-21
222;3170;23.0;отказ от военкомата;военная кафедра;Грузия;;;Ульяновск, Ульяновская область;А1;;27.09.2022 21:00;2022-09-27
223;3171;NULL;отказ от военкомата;;Швеция;;;;;;28.09.2022 23:45;2022-09-28
224;3173;24.0;отказ от военкомата;служил;Казахстан;Казанское;;;А1;;29.09.2022 2:00;2022-09-29
225;3175;NULL;отказ от военкомата;;Турция;Казань;;Кыштым, Челябинская область;В;;29.09.2022 12:55;2022-09-29
226;3185;23.0;отказ от военкомата;549543А, оператор коротковолновой связи;Киргизия;Домодедово;2019-2020;;;1.0;29.09.2022 13:05;2022-09-29
227;3192;NULL;отказ от военкомата;старший телефонист;Армения;Шереметьево;;;Б;;29.09.2022 13:17;2022-09-29
228;3194;37.0;отказ от военкомата;170202, военная кафедра;Турция;Шереметьево;;Санкт-Петербург;;;29.09.2022 13:17;2022-09-29
229;3196;NULL;;;Таджикистан;Жуковский;;;;;28.09.2022 13:22;2022-09-28
230;3201;29.0;отказ от военкомата;рота почётного караула;Казахстан;Орск;;Архангельская область;А1;;28.09.2022 13:32;2022-09-28
231;3207;30.0;отказ от военкомата;связист;Таджикистан;Минеральные Воды;;Смоленск, Смоленская область;;1.0;29.09.2022 13:39;2022-09-29
232;3207;33.0;отказ от военкомата;вдв;Таджикистан;Минеральные Воды;;Смоленск, Смоленская область;;1.0;29.09.2022 13:39;2022-09-29
233;3226;33.0;долг;не служил;Казахстан;;;;В;2.0;29.09.2022 14:17;2022-09-29
234;3226;25.0;отказ во въезде;служил;Казахстан;;2017-2018;;А1;2.0;29.09.2022 14:17;2022-09-29
235;3246;24.0;отказ от военкомата;;Казахстан;;;;;;29.09.2022 15:37;2022-09-29
236;3265;32.0;отказ от военкомата;191, химик;Азербайджан;Самара;;Пензенская область;;;29.09.2022 16:10;2022-09-29
237;3267;NULL;отказ от военкомата;заместитель командира взвода, стрелок;Армения;Сочи;;;;;29.09.2022 3:17;2022-09-29
238;3276;NULL;отказ от военкомата;;Турция;Внуково;;Волгоградская область;;;28.09.2022 16:31;2022-09-28
239;3278;38.0;;артиллерия, военная кафедра, офицер;Монголия;Кяхта;;;;;28.09.2022 16:33;2022-09-28
240;3280;25.0;отказ от военкомата;служил;Турция;Пулково;;Республика Карелия;Б3;;29.09.2022 16:35;2022-09-29
241;3294;24.0;отказ от военкомата;170182, командир отделения мостостроительных средств, военная кафедра;Узбекистан;Домодедово;;;;2.0;29.09.2022 17:00;2022-09-29
242;3297;27.0;отказ от военкомата;пулемётчик;Грузия;Верхний Ларс;;;А1;;29.09.2022 17:55;2022-09-29
243;3303;33.0;отказ от военкомата;снайпер, сержант;Казахстан;Комсомольское;;;А;;29.09.2022 18:06;2022-09-29
244;3303;51.0;отказ от военкомата;помощник военного коменданта аэродрома, не служил;Финляндия;Торфяновка;;Санкт-Петербург;;;29.09.2022 18:06;2022-09-29
245;3313;34.0;отказ от военкомата;эксплуатация и ремонт автомобильной техники, военная кафедра, офицер;Казахстан;Озинки;;;А;1.0;28.09.2022 19:17;2022-09-28
246;3317;25.0;;служил;;Домодедово;;;;;29.09.2022 19:31;2022-09-29
247;3318;NULL;отказ во въезде;;Казахстан;Петухово;;;;;29.09.2022 19:32;2022-09-29
248;3321;23.0;отказ от военкомата;;Казахстан;Бугристое;;;;;29.09.2022 20:52;2022-09-29
249;3324;28.0;отказ от военкомата;служил;Казахстан;Мариинский;2013-2014;;А;;29.09.2022 21:02;2022-09-29
250;3324;24.0;отказ от военкомата;служил;Казахстан;Мариинский;2021-2022;;В;;29.09.2022 21:02;2022-09-29
251;3329;33.0;отказ от военкомата;военная кафедра;Таджикистан;Пулково;;Ленинградская область;;;28.09.2022 21:13;2022-09-28
252;3333;26.0;отказ от военкомата;907, младший сержант;Казахстан;Озинки;2015-2016;;А1;;29.09.2022 21:49;2022-09-29
253;3337;28.0;отказ от военкомата;фельдшер\врач;Киргизия;Самара;;;;;29.09.2022 22:10;2022-09-29
254;3340;26.0;отказ от военкомата;стрелок, рядовой;Таджикистан;Пулково;2014-2015;Санкт-Петербург;А1;;29.09.2022 22:25;2022-09-29
255;3343;32.0;отказ от военкомата;разведчик;Турция;Домодедово;;;А;;29.09.2022 22:40;2022-09-29
256;3350;30.0;отказ от военкомата;радиотелеграфист, ВМФ;Узбекистан;Внуково;;;А1;;29.09.2022 23:15;2022-09-29
257;3355;26.0;отказ от военкомата;инженер, офицер;;Шереметьево;;;;;29.09.2022 23:40;2022-09-29
258;3369;30.0;отказ от военкомата;командир отделения стрелков;Азербайджан;Домодедово;2012-2013;;;;29.09.2022 8:21;2022-09-29
259;3370;29.0;отказ от военкомата;стрелок;Казахстан;Исилькуль;;;;;29.09.2022 8:22;2022-09-29
260;3372;27.0;отказ от военкомата;связист;Финляндия;Брусничное;;;;;29.09.2022 8:31;2022-09-29
261;3372;30.0;отказ от военкомата;военная кафедра;Киргизия;Домодедово;;;;;29.09.2022 23:20;2022-09-29
262;3376;NULL;отказ от военкомата;военная кафедра;Турция;Шереметьево;;;А;;30.09.2022 8:46;2022-09-30
263;3377;50.0;отказ во въезде;не служил;Финляндия;Светогорск;;Санкт-Петербург;А1;;30.09.2022 8:49;2022-09-30
264;3379;39.0;отказ от военкомата;мотострелок;Финляндия;Светогорск;;;;;29.09.2022 8:56;2022-09-29
265;3387;26.0;отказ от военкомата;901, помощник начальника отделения делопроизводства;Турция;Омск;;;Б3;;30.09.2022 9:29;2022-09-30
266;3403;23.0;отказ от военкомата;служил;Казахстан;Исилькуль;;Ярославская область;;;30.09.2022 10:45;2022-09-30
267;3406;33.0;отказ от военкомата;водитель;Турция;Внуково;;;Б;;30.09.2022 10:50;2022-09-30
268;3451;33.0;отказ от военкомата;служил;Турция;Домодедово;;;;;30.09.2022 13:30;2022-09-30
269;3459;33.0;отказ от военкомата;служил;Армения;Сочи;;;А;;30.09.2022 13:55;2022-09-30
270;3471;NULL;отказ от военкомата;вдв;Турция;Пулково;;;А;;30.09.2022 15:00;2022-09-30
271;3476;25.0;отказ от военкомата;постройка наплавного железнодорожного моста;Грузия;Верхний Ларс;;;;;28.09.2022 15:17;2022-09-28
272;3482;27.0;отказ от военкомата;служил;Казахстан;Бугристое;;;;1.0;30.09.2022 15:36;2022-09-30
273;3483;23.0;отказ от военкомата;служил, сержант;Турция;Внуково;;;А;;30.09.2022 13:00;2022-09-30
274;3483;30.0;отказ от военкомата;служил, сержант;Казахстан;Маштаково;;;;1.0;29.09.2022 21:00;2022-09-29
275;3483;32.0;ограничение от ФССП;служил, сержант;Казахстан;Маштаково;;;;1.0;29.09.2022 21:00;2022-09-29
276;3486;25.0;отказ от военкомата;ПВО, военная кафедра, офицер;Китай;Шереметьево;;;;;29.09.2022 15:57;2022-09-29
277;3490;NULL;отказ от военкомата;;Турция;Шереметьево;;;;;29.09.2022 22:00;2022-09-29
278;3493;27.0;отказ от военкомата;стрелок;Казахстан;Бугристое;;;;;30.09.2022 17:05;2022-09-30
279;3494;27.0;отказ от военкомата;водитель;Азербайджан;Домодедово;2015-2016;;Б;;29.09.2022 17:10;2022-09-29
280;3494;24.0;отказ от военкомата;не служил;Турция;Пулково;;Санкт-Петербург;В;;30.09.2022 17:10;2022-09-30
281;3496;25.0;отказ от военкомата;ракетные войска;Казахстан;Мариинский;;;А1;;30.09.2022 17:25;2022-09-30
282;3497;33.0;отказ от военкомата;436543Р;Казахстан;Маштаково;;Санкт-Петербург;А1;;30.09.2022 17:33;2022-09-30
283;3503;37.0;отказ от военкомата;310101, офицер;Турция;Шереметьево;;;;1.0;30.09.2022 19:06;2022-09-30
284;3508;30.0;;служил;Армения;Домодедово;;;А1;;30.09.2022 19:54;2022-09-30
285;3520;31.0;отказ от военкомата;служил;Киргизия;;;;А2;;30.09.2022 21:15;2022-09-30
286;3541;26.0;отказ от военкомата;связист;Узбекистан;Пулково;;;А;;30.09.2022 23:42;2022-09-30
287;3542;35.0;отказ от военкомата;авиатехник;Турция;Пулково;;;Б3;;30.09.2022 11:45;2022-09-30
288;3551;29.0;отказ от военкомата;оператор радио-перехвата;Узбекистан;Пулково;2011-2012;;;;30.09.2022 9:28;2022-09-30
289;3566;29.0;;служил;Армения;Сочи;;;;;01.10.2022 11:20;2022-10-01
290;3570;29.0;отказ от военкомата;182, командир отделения стрелков;Армения;Сургут;;Москва;;1.0;01.10.2022 11:32;2022-10-01
291;3571;25.0;отказ от военкомата;офицер запаса;Казахстан;Петухово;;Всеволожск, Ленинградская область;В;;01.10.2022 11:35;2022-10-01
292;3583;28.0;отказ от военкомата;водитель C/D, спецназ ГРУ, сержант;Казахстан;Аксарайский;;Москва;;;01.10.2022 12:02;2022-10-01
293;3586;29.0;;не служил;Беларусь;;;Санкт-Петербург;В;;30.09.2022 23:55;2022-09-30
294;3590;30.0;отказ от военкомата;служил;Казахстан;Маштаково;;;;;30.09.2022 12:22;2022-09-30
295;3596;27.0;отказ от военкомата;167, мобилизационное предписание;;Внуково;;;;;30.09.2022 12:35;2022-09-30
296;3600;32.0;отказ во въезде;служил;Чехия;Дубай;;;А1;;01.10.2022 13:50;2022-10-01
297;3600;NULL;отказ во въезде;;Чехия;Дубай;;;;;01.10.2022 13:50;2022-10-01
298;3600;NULL;отказ во въезде;;Чехия;Дубай;;;;;01.10.2022 13:50;2022-10-01
299;3600;NULL;отказ во въезде;;Чехия;Дубай;;;;;01.10.2022 13:50;2022-10-01
300;3600;NULL;отказ во въезде;;Чехия;Дубай;;;;;01.10.2022 13:50;2022-10-01
301;3600;NULL;отказ во въезде;;Чехия;Дубай;;;;;01.10.2022 13:50;2022-10-01
302;3603;31.0;отказ от военкомата;служил;Казахстан;Шереметьево;;;;;01.10.2022 13:52;2022-10-01
303;3607;22.0;отказ от военкомата;служил;Казахстан;Петухово;;;А1;;01.10.2022 13:56;2022-10-01
304;3609;30.0;отказ от военкомата;служил;Казахстан;Петухово;;;;;01.10.2022 14:59;2022-10-01
305;3609;30.0;отказ от военкомата;служил;Армения;Тюмень;;;;;25.09.2022 14:59;2022-10-01
306;3615;27.0;отказ от военкомата;служил;Казахстан;Илек;;;В;;29.09.2022 15:21;2022-09-29
307;3620;31.0;отказ от военкомата;666995А;Армения;Пулково;2012-2013;;Б;;01.10.2022 15:36;2022-10-01
308;3621;27.0;отказ от военкомата;стрелок;Узбекистан;Домодедово;;;А1;;30.09.2022 15:46;2022-09-30
309;3630;32.0;отказ от военкомата;стрелок, сержант;Армения;Сочи;;;;;01.10.2022 16:51;2022-10-01
310;3641;48.0;отказ от военкомата;офицер запаса;Узбекистан;Шереметьево;;;;;01.10.2022 20:40;2022-10-01
311;3644;27.0;отказ от военкомата;служил;Армения;Внуково;;;А1;;01.10.2022 21:10;2022-10-01
312;3646;32.0;отказ от военкомата;837;ОАЭ;Домодедово;2014-2015;Белгород;;1.0;01.10.2022 21:31;2022-10-01
313;3646;NULL;отказ от военкомата;служил;;Домодедово;;;;;01.10.2022 21:31;2022-10-01
314;3646;NULL;отказ от военкомата;служил;;Домодедово;;;;;01.10.2022 21:31;2022-10-01
315;3646;NULL;отказ от военкомата;служил;;Домодедово;;;;;01.10.2022 21:31;2022-10-01
316;3646;NULL;отказ от военкомата;не служил;;Домодедово;;;;;01.10.2022 21:31;2022-10-01
317;3652;32.0;отказ от военкомата;не служил;Египет;Внуково;;Костромская область;В;;01.10.2022 22:20;2022-10-01
318;3655;31.0;отказ от военкомата;стрелок, ВВ, мобилизационное предписание - спасатель;Казахстан;;2011-2012;Петрозаводск, Карелия;;;01.10.2022 22:35;2022-10-01
319;3657;27.0;отказ от военкомата;служил;Казахстан;Петухово;;;Б4;;01.10.2022 22:45;2022-10-01
320;3665;NULL;;военная кафедра;Армения;Махачкала;;;;;01.10.2022 23:25;2022-10-01
321;3667;29.0;отказ от военкомата;связист;Узбекистан;Внуково;;;Б4;;01.10.2022 23:37;2022-10-01
322;3668;30.0;;вдв;Армения;Домодедово;;;;;01.10.2022 23:40;2022-10-01
323;3676;24.0;отказ от военкомата;600;Казахстан;Внуково;;;А3;;02.10.2022 8:01;2022-10-02
324;3677;34.0;отказ от военкомата;461, спецсвязь;Турция;Сочи;2006-2008;;;;01.10.2022 8:06;2022-10-01
325;3679;41.0;отказ от военкомата;не служил, слесарь-ремонтник;Турция;Шереметьево;;Костромская область;В;2.0;01.10.2022 20:21;2022-10-01
326;3680;29.0;отказ от военкомата;стрелок;Казахстан;;;Ярославская область;;;30.09.2022 8:26;2022-09-30
327;3682;39.0;;военная кафедра, офицер, вус финансово-экономическая;;Шереметьево;;;;1.0;02.10.2022 8:36;2022-10-02
328;3682;29.0;отказ от военкомата;не служил;Киргизия;Шереметьево;;;В;;02.10.2022 8:36;2022-10-02
329;3684;32.0;отказ от военкомата;не служил;Казахстан;Екатеринбург;;Костромская область;;;02.10.2022 8:51;2022-10-02
330;3685;NULL;отказ от военкомата;механик специальной радиосвязи;Киргизия;Кольцово;;Кемеровская область;А1;;02.10.2022 8:56;2022-10-02
331;3685;23.0;отказ от военкомата;пильщик;Киргизия;Кольцово;;;А4;1.0;02.10.2022 8:56;2022-10-02
332;3689;48.0;отказ от военкомата;служил, офицер в запаса;Узбекистан;Шереметьево;;;;;02.10.2022 9:21;2022-10-02
333;3693;24.0;отказ от военкомата;;Казахстан;Орск;;Чита, Забайкальский край;В;;02.10.2022 9:41;2022-10-02
334;3698;NULL;отказ от военкомата;артиллерия, военная кафедра;;Домодедово;;;;;02.10.2022 10:31;2022-10-02
335;3699;33.0;отказ от военкомата;стрелок, электрик-водитель;Киргизия;Шереметьево;;;А1;;02.10.2022 10:36;2022-10-02
336;3701;30.0;;служил;Киргизия;Домодедово;;;А1;;02.10.2022 10:41;2022-10-02
337;3701;26.0;;не служил;Киргизия;Домодедово;;;В3;;02.10.2022 10:41;2022-10-02
338;3714;28.0;отказ от военкомата;оператор ЭВМ;Египет;Шереметьево;;;А;;02.10.2022 11:45;2022-10-02
339;3721;26.0;;РХБЗ;Армения;Домодедово;;;Б;;02.10.2022 12:25;2022-10-02
340;3721;29.0;отказ от военкомата;водитель-механик, электрик;Казахстан;Бугристое;;;;;02.10.2022 12:25;2022-10-02
341;3722;34.0;отказ от военкомата;служил;Узбекистан;Домодедово;;;А;;02.10.2022 12:30;2022-10-02
342;3726;35.0;отказ от военкомата;стрелок;Киргизия;Домодедово;;Санкт-Петербург;А1;;30.09.2022 12:45;2022-09-30
343;3727;33.0;отказ от военкомата;508, ВМФ;Иран;Шереметьево;2011-2012;;;;02.10.2022 12:45;2022-10-02
344;3729;NULL;отказ от военкомата;999, не служил;Армения;Домодедово;;Санкт-Петербург;В;;02.10.2022 12:55;2022-10-02
345;3732;24.0;отказ от военкомата;107;Армения;Домодедово;;;;;01.10.2022 13:10;2022-10-01
346;3733;NULL;отказ от военкомата;;;Орск;;;А1;;30.09.2022 13:15;2022-09-30
347;3737;40.0;;военная кафедра;ОАЭ;Внуково;;;;;02.10.2022 13:45;2022-10-02
348;3739;32.0;отказ от военкомата;дизелист-электрик, РВСН;Казахстан;Петухово;;Архангельская область;Б;;02.10.2022 13:55;2022-10-02
349;3741;34.0;отказ от военкомата;служил;Турция;Пулково;;;;;02.10.2022 15:10;2022-10-02
350;3741;42.0;отказ во въезде;не служил;Литва;;;;В;;02.10.2022 15:10;2022-10-02
351;3748;45.0;;военная кафедра;;Внуково;;Всеволожск, Ленинградская область;;;02.10.2022 15:56;2022-10-02
352;3757;31.0;отказ от военкомата;063400, контрактник, офицер запаса;Беларусь;Новозыбков;;;;А;30.09.2022 16:50;2022-09-30
353;3759;NULL;;100;;Шереметьево;;;А;;01.10.2022 12:30;2022-10-01
354;3766;29.0;отказ от военкомата;не служил, оператор ЭВМ;Турция;Домодедово;;Санкт-Петербург;В;;02.10.2022 18:30;2022-10-02
355;3766;34.0;;стрелок;Киргизия;Шереметьево;;;;;02.10.2022 18:30;2022-10-02
356;3774;28.0;;оператор ЭВМ;Армения;Шереметьево;;;А;;02.10.2022 20:15;2022-10-02
357;3776;25.0;отказ от военкомата;;;Внуково;;;В;;24.09.2022 20:35;2022-09-24
358;3782;35.0;ограничение от ФССП;не служил;Казахстан;Бугристое;;;;;02.10.2022 21:40;2022-10-02
359;3783;26.0;отказ от военкомата;стрелок;Киргизия;Домодедово;;;А1;;02.10.2022 21:45;2022-10-02
360;3789;NULL;;писарь-делопроизводитель;Турция;Пулково;;;;;02.10.2022 23:38;2022-10-02
361;3794;27.0;отказ от военкомата;100182А;Турция;Шереметьево;2016-2017;;А;;02.10.2022 23:50;2022-10-02
362;3805;32.0;отказ от военкомата;140;Армения;Домодедово;;Владимирская область;Б3;;02.10.2022 22:30;2022-10-02
363;3807;26.0;отказ от военкомата;военная кафедра;Казахстан;Внуково;;Всеволожск, Ленинградская область;;;03.10.2022 9:45;2022-10-03
364;3808;28.0;отказ от военкомата;служил, контрактник, сержант;Казахстан;Внуково;;;Б3;;03.10.2022 10:01;2022-10-03
365;3812;28.0;отказ от военкомата;ПВО;Узбекистан;;;;Г;;02.10.2022 10:40;2022-10-02
366;3812;30.0;отказ от военкомата;ВМФ;Узбекистан;;;;;;02.10.2022 10:40;2022-10-02
367;3814;27.0;;;Грузия;Верхний Ларс;;;;;02.10.2022 10:59;2022-10-02
368;3819;27.0;отказ от военкомата;матрос;Казахстан;Караозек;;;А1;;03.10.2022 12:10;2022-10-03
369;3821;NULL;отказ от военкомата;военная кафедра;Казахстан;Кольцово;;;;;03.10.2022 12:25;2022-10-03
370;3831;31.0;отказ от военкомата;132;Казахстан;Петухово;;;А1;;03.10.2022 13:59;2022-10-03
371;3831;33.0;отказ от военкомата;478;Казахстан;Петухово;;;А1;;03.10.2022 13:59;2022-10-03
372;3833;NULL;отказ от военкомата;;Турция;Шереметьево;;;;;02.10.2022 16:00;2022-10-02
373;3835;27.0;отказ от военкомата;водитель;Турция;Внуково;;Петрозаводск, Карелия;;;03.10.2022 16:15;2022-10-03
374;3835;27.0;отказ от военкомата;стрелок;Турция;Внуково;;Петрозаводск, Карелия;;;03.10.2022 16:15;2022-10-03
375;3840;31.0;отказ от военкомата;служил;Турция;Внуково;;Курчатов, Курская область;;;03.10.2022 17:10;2022-10-03
376;3845;26.0;отказ от военкомата;военная кафедра, офицер;Казахстан;Аксарайский;;;;;01.10.2022 17:56;2022-10-01
377;3849;42.0;отказ от военкомата;военная кафедра;;;;Кингисепп, Ленинградская область;;;03.10.2022 18:50;2022-10-03
378;3850;22.0;отказ от военкомата;служил;Турция;Пулково;;;А2;;03.10.2022 19:01;2022-10-03
379;3855;26.0;отказ от военкомата;служил, офицер запаса;Узбекистан;Домодедово;;;;;03.10.2022 19:50;2022-10-03
380;3855;32.0;;ВМФ, плавсостав;;Новороссийск;;;;;03.10.2022 19:50;2022-10-03
381;3857;35.0;отказ от военкомата;военная кафедра, офицер;Армения;;;;;;03.10.2022 20:05;2022-10-03
382;3859;42.0;отказ от военкомата;штурман надводных кораблей, военная кафедра;Турция;Пулково;;Ленинградская область;А1;;03.10.2022 20:15;2022-10-03
383;3870;29.0;;999, не служил;Армения;Шереметьево;;;;;03.10.2022 21:31;2022-10-03
384;3884;36.0;отказ от военкомата;военная кафедра, офицер;Турция;Пулково;;;;;04.10.2022 8:15;2022-10-04
385;3887;NULL;отказ во въезде;;Молдова;;;;;;04.10.2022 8:45;2022-10-04
386;3889;30.0;отказ от военкомата;220;;;;Ивановская область;А;;03.10.2022 9:10;2022-10-03
387;3892;26.0;отказ от военкомата;служил;;Пулково;;;;;04.10.2022 9:40;2022-10-04
388;3894;30.0;отказ от военкомата;авиационный механик;Турция;Домодедово;;;;;04.10.2022 10:05;2022-10-04
389;3898;23.0;отказ от военкомата;водитель БТР;Казахстан;;;;Б3;;04.10.2022 10:45;2022-10-04
390;3921;23.0;отказ от военкомата;140533А;Узбекистан;Внуково;;;А2;;04.10.2022 15:01;2022-10-04
391;3924;30.0;отказ от военкомата;441, военная кафедра;Турция;Внуково;;;А;1;04.10.2022 15:40;2022-10-04
392;3928;37.0;;военная кафедра;Турция;Внуково;;;А;;04.10.2022 16:15;2022-10-04
393;3929;26.0;отказ от военкомата;служил;Турция;Внуково;;Ростовская область;;;03.10.2022 16:30;2022-10-03
394;3936;27.0;;не служил;Казахстан;Тюмень;;Санкт-Петербург;;;04.10.2022 18:10;2022-10-04
395;3942;35.0;;Контролер КПП;Турция;Пулково;;;;2;04.10.2022 20:15;2022-10-04
396;3951;25.0;;военная кафедра, офицер;Турция;;;;1;;04.10.2022 22:25;2022-10-04
397;3952;NULL;отказ в выезде иностранным государством;;Польша;Граница Беларусь-Польша;;;;;04.10.2022 22:35;2022-10-04
